ticker,ten,kij,sen,Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,maximaze,interval,
VIPS,9,26,52,2012-03-23 07:00:00+00:00,2022-12-09 04:00:00+00:00,3912 days 21:00:00,29.013254786450666,321564.7740259999,457103.104986,3115.647740259999,2263.6363636363635,38.03979179026646,46.81313164845479,0.8125880591780935,2.0239689110089505,1.0781673926919935,-35.28189782783898,-6.72950023012225,1008 days 00:00:00,60 days 00:00:00,36,61.111111111111114,157.65859585177472,-13.696961378103389,10.121097327765893,155 days 00:00:00,31 days 00:00:00,6.557994397900137,13.380315262994799,2.138598177939209,Return [%],CANDLE_INTERVAL_DAY,
TAL,9,26,52,2010-12-27 07:00:00+00:00,2022-12-09 04:00:00+00:00,4364 days 21:00:00,35.581395348837205,82225.43489419998,121086.5796742,722.2543489419998,173.00712896953988,19.318313122230848,28.796779090726133,0.670849787101788,1.2314015171618973,0.5425595994480346,-35.60588208536733,-5.715586701679414,651 days 00:00:00,58 days 00:00:00,53,54.71698113207547,37.58144371916827,-13.428503616548571,4.056759920962416,104 days 00:00:00,28 days 00:00:00,3.5853872918826064,4.63621088197029,1.8918163094978244,Return [%],CANDLE_INTERVAL_DAY,
EBS,9,26,52,2010-12-27 07:00:00+00:00,2022-12-09 04:00:00+00:00,4364 days 21:00:00,24.211225506476254,10661.782348800005,15300.148332600005,6.617823488000049,-44.325228143551605,0.5384677966106421,18.52781599228591,0.029062669708876332,0.04203406454569135,0.012466140629358595,-43.19442661688851,-5.898072057725494,2843 days 00:00:00,163 days 00:00:00,49,44.89795918367347,22.820463152457403,-14.556070980167512,0.13253169652891472,93 days 00:00:00,20 days 00:00:00,1.1649852169076624,0.37291254190798184,0.12237629746963943,Return [%],CANDLE_INTERVAL_DAY,
T,9,26,52,2010-12-27 07:00:00+00:00,2022-12-09 04:00:00+00:00,4364 days 21:00:00,17.598412173337742,13324.641259999999,14093.20836,33.246412599999985,-34.8034188034188,2.4248094691518007,6.457611945532872,0.3754963118880488,0.541499297894489,0.2780400553258699,-8.721079652749541,-2.2503608694850152,1185 days 00:00:00,132 days 00:00:00,28,42.857142857142854,11.175633619411052,-4.790977572365374,1.0325543371714652,83 days 00:00:00,27 days 00:00:00,2.4654137391708897,1.1152774489087751,1.3129026679628348,Return [%],CANDLE_INTERVAL_DAY,
KO,9,26,52,2010-12-27 07:00:00+00:00,2022-12-09 04:00:00+00:00,4364 days 21:00:00,28.636959370904325,8691.260409999997,10956.665290000008,-13.087395900000029,94.03719071768867,-1.1529903387381024,7.817010501725232,0.0,0.0,0.0,-27.825089471178,-4.71153065395123,3494 days 00:00:00,354 days 00:00:00,53,35.84905660377358,9.566001562496385,-4.62357848522098,-0.26490848876329354,94 days 00:00:00,22 days 00:00:00,0.7888364543422942,-0.2322457001041339,-0.7656310574585183,Return [%],CANDLE_INTERVAL_DAY,
FLOT,9,26,52,2020-10-07 07:00:00+00:00,2022-12-09 07:00:00+00:00,793 days 00:00:00,0.0,10000.0,10000.0,0.0,-61.57213930348259,0.0,0.0,nan,nan,nan,-0.0,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,Return [%],CANDLE_INTERVAL_DAY,
GMKN,9,26,52,2010-12-27 07:00:00+00:00,2022-12-11 07:00:00+00:00,4367 days 00:00:00,16.9671603348358,14117.714,15017.002,41.17714,121.4052710609434,2.837350013373463,9.865356269112544,0.28760745542022903,0.4332526432823313,0.15186908343821512,-18.682867830224193,-4.128712302362088,1363 days 00:00:00,164 days 00:00:00,32,37.5,22.678689971650922,-4.512582874452109,1.1779282016202597,118 days 00:00:00,22 days 00:00:00,2.0968728174978692,1.3652741544020468,1.1512082633074558,Return [%],CANDLE_INTERVAL_DAY,
BABA,9,26,52,2014-09-19 07:00:00+00:00,2022-12-11 04:00:00+00:00,3004 days 21:00:00,23.81174277726002,24895.321819999994,29113.828699999995,148.95321819999992,-3.152625412717003,11.31069896525747,16.08439675023163,0.7032093985803096,1.2696514447092793,0.6148441931010851,-18.396040968053683,-3.7771866755169894,831 days 00:00:00,63 days 00:00:00,21,52.38095238095239,35.7582482658303,-6.532129855267755,4.4573243053090295,127 days 00:00:00,34 days 00:00:00,4.581202965887653,4.945226817210633,1.9257379050877523,Return [%],CANDLE_INTERVAL_DAY,
VIPS,9,26,52,2012-03-23 07:00:00+00:00,2022-12-09 04:00:00+00:00,3912 days 21:00:00,29.013254786450666,321564.7740259999,457103.104986,3115.647740259999,2263.6363636363635,38.03979179026646,46.81313164845479,0.8125880591780935,2.0239689110089505,1.0781673926919935,-35.28189782783898,-6.72950023012225,1008 days 00:00:00,60 days 00:00:00,36,61.111111111111114,157.65859585177472,-13.696961378103389,10.121097327765893,155 days 00:00:00,31 days 00:00:00,6.557994397900137,13.380315262994799,2.138598177939209,Return [%],CANDLE_INTERVAL_DAY,
TAL,9,26,52,2010-12-27 07:00:00+00:00,2022-12-09 04:00:00+00:00,4364 days 21:00:00,35.581395348837205,82225.43489419998,121086.5796742,722.2543489419998,173.00712896953988,19.318313122230848,28.796779090726133,0.670849787101788,1.2314015171618973,0.5425595994480346,-35.60588208536733,-5.715586701679414,651 days 00:00:00,58 days 00:00:00,53,54.71698113207547,37.58144371916827,-13.428503616548571,4.056759920962416,104 days 00:00:00,28 days 00:00:00,3.5853872918826064,4.63621088197029,1.8918163094978244,Return [%],CANDLE_INTERVAL_DAY,
FLOT,8,15,45,2020-10-07 07:00:00+00:00,2022-12-09 07:00:00+00:00,793 days 00:00:00,0.0,10000.0,10000.0,0.0,-61.57213930348259,0.0,0.0,nan,nan,nan,-0.0,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,Return [%],CANDLE_INTERVAL_DAY,
GMKN,8,27,56,2010-12-27 07:00:00+00:00,2022-12-11 07:00:00+00:00,4367 days 00:00:00,18.963296844816487,16791.312000000005,17563.316000000006,67.91312000000005,121.46444659777649,4.294608155709723,9.798525356608712,0.43829127337137336,0.6858606923077379,0.24718177426481583,-17.374291322582447,-3.9583778482987046,1167 days 00:00:00,120 days 00:00:00,32,46.875,21.34704949076207,-8.833761049329913,1.9096433949143954,120 days 00:00:00,25 days 00:00:00,2.8969293398839655,2.130140454871418,1.7191342030891292,Return [%],CANDLE_INTERVAL_DAY,
FLOT,6,15,45,2020-10-07 07:00:00+00:00,2022-12-09 07:00:00+00:00,793 days 00:00:00,0.0,10000.0,10000.0,0.0,-61.57213930348259,0.0,0.0,nan,nan,nan,-0.0,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,Return [%],CANDLE_INTERVAL_DAY,
GMKN,6,26,67,2010-12-27 07:00:00+00:00,2022-12-11 07:00:00+00:00,4367 days 00:00:00,19.639407598197035,18414.71000000001,19823.42200000001,84.1471000000001,120.36969916636463,5.078460063569379,9.61999083071911,0.5279069546877889,0.8375453791125615,0.2949971887908325,-17.21528291298483,-3.180826074399637,1130 days 00:00:00,97 days 00:00:00,36,55.55555555555556,21.732013979414933,-7.613344739093241,2.2703982065945594,124 days 00:00:00,23 days 00:00:00,4.079231879256677,2.4631652362418577,2.1355764847458976,Return [%],CANDLE_INTERVAL_DAY,
BABA,13,26,70,2014-09-19 07:00:00+00:00,2022-12-11 04:00:00+00:00,3004 days 21:00:00,23.392357875116495,38444.679444,43970.886004,284.44679444,-2.4709766748322584,17.14075916324054,16.386623912961237,1.0460213924652781,2.161595667152129,1.2605763213849919,-13.597557619048429,-2.96345904385898,831 days 00:00:00,45 days 00:00:00,20,70.0,35.7582482658303,-6.532129855267755,6.9845379220385695,127 days 00:00:00,35 days 00:00:00,12.220748557023667,7.5479394181324055,2.623686766981864,Return [%],CANDLE_INTERVAL_DAY,
FLOT,4,26,66,2020-10-07 07:00:00+00:00,2022-12-09 07:00:00+00:00,793 days 00:00:00,0.37593984962406013,10098.949599999998,10216.6696,0.9894959999999811,-61.57213930348259,0.4674942500466406,1.6998832552709664,0.275015503915956,0.5889553336751967,0.40572836328799466,-1.1522345794563127,-1.1522345794563127,561 days 00:00:00,561 days 00:00:00,1,100.0,0.9949632834439726,0.9949632834439726,0.9949632834439726,1 days 00:00:00,1 days 00:00:00,nan,0.9949632834439726,nan,Return [%],CANDLE_INTERVAL_DAY,
